t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
24000,111461.034898,105453.6994576,0.00230236505089337,0,0.0013147445071362,0.000126102806674444,0,0,2.06574315254553e-05,1.1867478936538e-12,0.690547139045552,0.00836935244092253
24600,111460.1385792,105452.8720864,0.00229614040308726,0,0.00131887351967773,0.000126182436122051,0,0,1.87011413610412e-05,1.19264501878397e-12,0.680812009486848,0.0083677051079188
25200,111461.7933216,105454.3889336,0.00229017457011544,0,0.00132305110571647,0.000126126173110414,0,0,1.70644180496418e-05,1.19337555737366e-12,0.672670597235511,0.00836579783703155
25800,111460.6212124,105453.285772,0.00228411167468498,0,0.00132760729184809,0.00012604594671394,0,0,1.5649778378575e-05,1.1931521007841e-12,0.663595039035763,0.00836356424049177
26400,111460.8970028,105453.5615624,0.00227778624480556,0,0.00133265701481495,0.000125972061184842,0,0,1.4418769253082e-05,1.19299659893159e-12,0.655756255593425,0.00836120867199474
27000,111460.9659504,105453.5615624,0.00227061085520068,0,0.00133866161628999,0.000125887560254579,0,0,1.33155346525029e-05,1.19280943950296e-12,0.646494857504395,0.00835808249148989
27600,111460.9659504,105453.63051,0.00226330706440007,0,0.00134497254292857,0.000125849355676538,0,0,1.2302211918294e-05,1.19415562758184e-12,0.638542699186144,0.00835596953443618
28200,111457.1738324,105449.9762872,0.00225401448822692,0,0.00135313704639703,0.00012576437187814,0,0,1.14174222221846e-05,1.19447787463262e-12,0.627442908347272,0.0083517794439818
28800,111460.4833172,105453.0789292,0.00224434216483251,0,0.00136181661549285,0.000125807851916383,0,0,1.0565294798801e-05,1.19872867699179e-12,0.649383168536887,0.00834931479208287
29400,111459.7248936,105452.596296,0.00223340734385743,1.92852965369203e-07,0.00137169032612849,0.000125734273028431,0,0,9.80225299890806e-06,1.20017768546331e-12,0.652054087392127,0.00834591465702245
30000,111464.2754352,105456.5952568,0.00222036693560841,7.70330191778358e-07,0.00138327972493751,0.000125637419139822,0,0,9.10342929270042e-06,1.20144651437105e-12,0.638810467086377,0.00834269935368474
30600,111460.9659504,105451.4241868,0.00217220712564183,3.7235331149245e-05,0.0013943520324169,0.000125528982585277,0,0,8.47064367074733e-06,1.20293367618936e-12,2.60767402203963,0.00834005553945287
31200,111453.9332952,105447.0115404,0.00214885930434165,4.76574284375796e-05,0.0014065749306735,0.000125384608322612,0,0,7.90593371639505e-06,1.20321064954646e-12,1.68274261422252,0.00833651005732265
31800,111460.4833172,105453.1478768,0.00214656143510824,3.46505066745383e-05,0.00142093290004164,0.000125219426632805,0,0,7.38255347559496e-06,1.20332637162025e-12,1.676596707394,0.00833289517976621
32400,111461.1727932,105453.8373528,0.00214649926890228,1.90640192353488e-05,0.00143601721554557,0.000125030388611409,0,0,6.88062435666106e-06,1.20350353246895e-12,1.6715001885262,0.00832922006652521
33000,111461.8622692,105454.3889336,0.00214641394105835,1.45161191536944e-05,0.00144214195590562,0.000124846356567425,0,0,6.4204044055253e-06,1.20335528823451e-12,1.66957613457094,0.00832902566353212
33600,111461.1727932,105453.7684052,0.0021463593392635,1.31347807551549e-05,0.00144404893092012,0.000124801166786506,0,0,6.15123921692615e-06,1.20343708708789e-12,1.66219588103524,0.00832703152067502
34200,111460.9659504,105453.5615624,0.00214537969698114,1.24346813235982e-05,0.00144542887311713,0.000124812511199791,0,0,5.94347892262061e-06,1.20416055538037e-12,1.54118431243102,0.00832443574672572
34800,111461.4485836,105454.0441956,0.00214441061108918,1.14032273627783e-05,0.00144719169524193,0.000124803935134918,0,0,5.7483933412598e-06,1.20410187571095e-12,1.41855643672791,0.00832146236053638
35400,111461.6554264,105454.2510384,0.00214436515596384,8.88511495189578e-06,0.00144946220424934,0.000124788928823486,0,0,5.5601104660829e-06,1.2039360615272e-12,1.41330615668904,0.0083185632365883
36000,111461.7933216,105454.319986,0.00214331178040889,7.53914620277427e-06,0.00145165738406904,0.000124767654846031,0,0,5.37845929893719e-06,1.20371522414277e-12,1.29211038609712,0.00831534986052833
36600,111460.1385792,105452.596296,0.00214333635686161,5.96877962989182e-06,0.00145303624596286,0.000124761576954866,0,0,5.2086793526897e-06,1.20427887265733e-12,1.28200961599818,0.00831221116108409
37200,111461.5864788,105454.1820908,0.00214105078994781,6.57859290560622e-06,0.0014546096881035,0.000124775126250042,0,0,5.05372107899643e-06,1.2058836897171e-12,1.03217951879434,0.0083091324853144
37800,111462.0001644,105454.5268288,0.00213767441489145,7.65051334957374e-06,0.00145639944012578,0.000124785994727237,0,0,4.9073601974957e-06,1.20730737745923e-12,0.677335613706589,0.00830615422425146
38400,111460.9659504,105453.4926148,0.00213664447562943,6.86366025718244e-06,0.00145774466926891,0.000124780569380929,0,0,4.76645865948192e-06,1.20830281075089e-12,0.677283930837105,0.00830324643617576
39000,111461.2417408,105453.8373528,0.00213662698373188,5.33614991317127e-06,0.00145876120907803,0.000124767914006229,0,0,4.63425860847777e-06,1.20837194440733e-12,0.675255680679677,0.00830004893229627
39600,111461.7933216,105454.319986,0.00213656124303189,4.06680056725334e-06,0.00145948456649275,0.00012475899756794,0,0,4.51133303776933e-06,1.20823464294008e-12,0.667664054076701,0.0082966462342176
40200,111462.3449024,105454.8715668,0.0021344717519767,5.07552728480868e-06,0.00145989082167382,0.000124758816952007,0,0,4.39530596379814e-06,1.2087401128573e-12,0.42662118224432,0.00829345469011397
40800,111462.41385,105454.9405144,0.00213447179425599,4.20316123419234e-06,0.00146001270658692,0.000124763492328893,0,0,4.28718448908426e-06,1.20962455555508e-12,0.42662118224432,0.00829039794801352
41400,111462.0001644,105454.4578812,0.00213447182638514,3.12337421322776e-06,0.00146018214088396,0.000124762702912244,0,0,4.18480542326276e-06,1.20992450644146e-12,0.42662118224432,0.00828704963853054
42000,111461.5864788,105454.1131432,0.00213447184859143,2.29741928755633e-06,0.00146011491605253,0.000124758976594951,0,0,4.08554897629764e-06,1.20984773936294e-12,0.42662118224432,0.00828379620639368
42600,111461.2417408,105453.7684052,0.00213447187329332,1.52387337310023e-06,0.00145990260035857,0.000124761319019451,0,0,3.99416206304024e-06,1.21004313571821e-12,0.426621230724005,0.00828059840827853
43200,111461.5864788,105454.1131432,0.00213447160060914,1.19530809405372e-06,0.00145924980031494,0.000124761687166934,0,0,3.9066554829183e-06,1.21010507468291e-12,0.426621230724005,0.00827750216846845
43800,111461.4485836,105453.975248,0.00213447161554272,1.09857536135312e-06,0.00145827017303199,0.000124765883571229,0,0,3.82624310983923e-06,1.21041632306502e-12,0.426621230724005,0.0082742608618268
44400,111461.2417408,105453.8373528,0.00213447118581564,9.42997159830336e-07,0.00145725279864395,0.000124773222951843,0,0,3.7505951521568e-06,1.2109918962914e-12,0.426620878317767,0.00827109404654558
45000,111461.7933216,105454.319986,0.00213447119403013,7.15534205793021e-07,0.00145626614654529,0.000124777537775834,0,0,3.67724820451588e-06,1.21141084962437e-12,0.426620878317767,0.00826785621924742
45600,111461.5175312,105454.0441956,0.00213447119877783,5.42594969324679e-07,0.0014552154579568,0.000124780291683016,0,0,3.6057684551916e-06,1.21179339487078e-12,0.426620878317767,0.00826459655659679
46200,111461.3106884,105453.8373528,0.00213447120213026,4.71736501487855e-07,0.00145404598799326,0.000124783124707407,0,0,3.53660853678507e-06,1.21227744607956e-12,0.426620878317767,0.00826152944539211
46800,111461.1727932,105453.7684052,0.00213447120702043,3.79204012109519e-07,0.0014528634352357,0.000124787560219778,0,0,3.47217610787702e-06,1.21293908545298e-12,0.426620878317767,0.00825833030034712
47400,111462.069112,105454.5957764,0.00213447121187545,2.43446748612904e-07,0.00145171637467587,0.000124791814387584,0,0,3.40986601442488e-06,1.21368341255291e-12,0.426620878317767,0.00825523711888648
48000,111461.4485836,105453.975248,0.00213447121270124,5.14721761171721e-08,0.00145062751353543,0.000124794889475093,0,0,3.3491951931909e-06,1.21430415410881e-12,0.426620878317767,0.00825217389490969
48600,111460.9659504,105453.5615624,0.00213447121351905,0,0.00144944346437785,0.00012479686708894,0,0,3.28996549064202e-06,1.21484541074948e-12,0.426620878317767,0.0082491404358936
49200,111461.7933216,105454.2510384,0.00213447121351905,0,0.00144821286102298,0.000124799321995961,0,0,3.23325759494042e-06,1.21550521471886e-12,0.426620878317767,0.00824616838262937
49800,111461.379636,105453.9063004,0.00213447121351905,0,0.00144700906411942,0.000124803602481818,0,0,3.18015718844994e-06,1.21641622350986e-12,0.426620878317767,0.00824326221881149
50400,111461.3106884,105453.8373528,0.00213447121351905,0,0.0014458487967062,0.000124807376547563,0,0,3.12888046334188e-06,1.21723731505414e-12,0.426620878317767,0.0082403041244125
51000,111461.5864788,105454.1131432,0.00213447121351905,0,0.00144474348924941,0.000124810679907852,0,0,3.07921271256916e-06,1.21811215078043e-12,0.426620878317767,0.00823737881137119
51600,111461.5864788,105454.1131432,0.00213447121351905,0,0.0014437023510229,0.000124813931268527,0,0,3.03108085276258e-06,1.21905428300384e-12,0.426620878317767,0.00823458247959258
52200,111461.4485836,105453.975248,0.00213447121351905,0,0.0014427310997056,0.000124816561883912,0,0,2.98455008702179e-06,1.22000459566863e-12,0.426620878317767,0.00823177518327738
52800,111461.5175312,105454.0441956,0.00213447121351905,0,0.00144183587226542,0.000124819080131063,0,0,2.93944079881414e-06,1.2209852921613e-12,0.426620878317767,0.0082290249719448
