x,y,saturation,concentration
0.005,0.005,0,0
0.015,0.005,0,0
0.025,0.005,0,0
0.035,0.005,0,1.02045521716731e-27
0.045,0.005,0,1.02045521716731e-27
0.055,0.005,0,1.02045521716731e-27
0.065,0.005,0,1.02045521716731e-27
0.075,0.005,0,1.02045521716731e-27
0.085,0.005,0,1.02045521716731e-27
0.095,0.005,0,1.02045521716731e-27
0.105,0.005,0,1.02045521716731e-27
0.115,0.005,0,1.02045521716731e-27
0.125,0.005,0,1.02045521716731e-27
0.135,0.005,0,1.02045521716731e-27
0.145,0.005,0,1.02045521716731e-27
0.155,0.005,0,1.02045521716731e-27
0.165,0.005,0,1.02045521716731e-27
0.175,0.005,0,1.02045521716731e-27
0.185,0.005,0,1.02045521716731e-27
0.195,0.005,0,1.02046338080905e-27
0.205,0.005,0,1.02046338080905e-27
0.215,0.005,0,1.02061134681554e-27
0.225,0.005,0,1.02061134681554e-27
0.235,0.005,0,1.02361556697488e-27
0.245,0.005,0,1.02361556697488e-27
0.255,0.005,0,1.08086922738927e-27
0.265,0.005,0,1.08086922738927e-27
0.275,0.005,0,1.86532682784795e-27
0.285,0.005,0,1.86532682784795e-27
0.295,0.005,0,1.5377760099655e-26
0.305,0.005,0,1.5377760099655e-26
0.315,0.005,0,3.17322897286304e-25
0.325,0.005,0,3.17322897286304e-25
0.335,0.005,0,1.07545265109655e-23
0.345,0.005,0,1.07545265109655e-23
0.355,0.005,0,3.87666855180994e-22
0.365,0.005,0,3.87666855180994e-22
0.375,0.005,0,1.00710082587681e-20
0.385,0.005,0,1.00710082587681e-20
0.395,0.005,0,1.58447510206873e-19
0.405,0.005,0,1.58447510206873e-19
0.415,0.005,0,1.13896170199217e-18
0.425,0.005,0,1.13896170199217e-18
0.435,0.005,0,4.75920210319057e-18
0.445,0.005,0,4.75920210319057e-18
0.455,0.005,0,8.06297893244104e-18
0.465,0.005,0,8.06297893244104e-18
0.475,0.005,0,1.08328872670917e-17
0.485,0.005,0,1.08328872670917e-17
0.495,0.005,0,1.53436870999538e-17
0.505,0.005,0,1.53436870999538e-17
0.515,0.005,0,1.91235042471024e-17
0.525,0.005,0,1.91235042471024e-17
0.535,0.005,0,2.32958701071909e-17
0.545,0.005,0,2.32958701071909e-17
0.555,0.005,0,2.12556739915083e-17
0.565,0.005,0,2.12556739915083e-17
0.575,0.005,0,1.71663221633363e-17
0.585,0.005,0,1.71663221633363e-17
0.595,0.005,0,1.33047665532926e-17
0.605,0.005,0,1.33047665532926e-17
0.615,0.005,0,1.0161974698192e-17
0.625,0.005,0,1.0161974698192e-17
