x,y,saturation,concentration
0.005,0.005,0,0
0.015,0.005,0,0
0.025,0.005,0,0
0.035,0.005,0,1.02045521716731e-27
0.045,0.005,0,1.02045521716731e-27
0.055,0.005,0,1.02045521716731e-27
0.065,0.005,0,1.02045521716731e-27
0.075,0.005,0,1.02045521716731e-27
0.085,0.005,0,1.02045521716731e-27
0.095,0.005,0,1.02045521716731e-27
0.105,0.005,0,1.02045521716731e-27
0.115,0.005,0,1.02045521716731e-27
0.125,0.005,0,1.02045521716731e-27
0.135,0.005,0,1.02045521716731e-27
0.145,0.005,0,1.02045521716731e-27
0.155,0.005,0,1.02045521716731e-27
0.165,0.005,0,1.02045521716731e-27
0.175,0.005,0,1.02046133989862e-27
0.185,0.005,0,1.02046133989862e-27
0.195,0.005,0,1.02061746954684e-27
0.205,0.005,0,1.02061746954684e-27
0.215,0.005,0,1.02491460646634e-27
0.225,0.005,0,1.02491460646634e-27
0.235,0.005,0,1.15943101319333e-27
0.245,0.005,0,1.15943101319333e-27
0.255,0.005,0,5.84254491402625e-27
0.265,0.005,0,5.84254491402625e-27
0.275,0.005,0,1.74296812457829e-25
0.285,0.005,0,1.74296812457829e-25
0.295,0.005,0,6.21416102909642e-24
0.305,0.005,0,6.21416102909642e-24
0.315,0.005,0,1.97965454855851e-22
0.325,0.005,0,1.97965454855851e-22
0.335,0.005,0,5.58725253007142e-21
0.345,0.005,0,5.58725253007142e-21
0.355,0.005,0,1.34090774855915e-19
0.365,0.005,0,1.34090774855915e-19
0.375,0.005,0,2.67601522966392e-18
0.385,0.005,0,2.67601522966392e-18
0.395,0.005,0,4.10359738300361e-17
0.405,0.005,0,4.10359738300361e-17
0.415,0.005,0,4.13884288574935e-16
0.425,0.005,0,4.13884288574935e-16
0.435,0.005,0,3.00471405966568e-15
0.445,0.005,0,3.00471405966568e-15
0.455,0.005,0,5.60638708584853e-15
0.465,0.005,0,5.60638708584853e-15
0.475,0.005,0,4.36533802347572e-15
0.485,0.005,0,4.36533802347572e-15
0.495,0.005,0,2.22501076006378e-15
0.505,0.005,0,2.22501076006378e-15
0.515,0.005,0,9.4540736890357e-16
0.525,0.005,0,9.4540736890357e-16
0.535,0.005,0,5.05978841241459e-16
0.545,0.005,0,5.05978841241459e-16
0.555,0.005,0,2.50251947455156e-16
0.565,0.005,0,2.50251947455156e-16
0.575,0.005,0,1.20745363571322e-16
0.585,0.005,0,1.20745363571322e-16
0.595,0.005,0,5.80786474347082e-17
0.605,0.005,0,5.80786474347082e-17
0.615,0.005,0,3.34304496646229e-17
0.625,0.005,0,3.34304496646229e-17
