x,y,saturation,concentration
0.005,0.005,0,0
0.015,0.005,0,0
0.025,0.005,0,0
0.035,0.005,0,1.02045521716731e-27
0.045,0.005,0,1.02045521716731e-27
0.055,0.005,0,1.02045521716731e-27
0.065,0.005,0,1.02045521716731e-27
0.075,0.005,0,1.02045521716731e-27
0.085,0.005,0,1.02045521716731e-27
0.095,0.005,0,1.02045521716731e-27
0.105,0.005,0,1.02045521716731e-27
0.115,0.005,0,1.02045521716731e-27
0.125,0.005,0,1.02045521716731e-27
0.135,0.005,0,1.02045521716731e-27
0.145,0.005,0,1.02045521716731e-27
0.155,0.005,0,1.02045521716731e-27
0.165,0.005,0,1.02045521716731e-27
0.175,0.005,0,1.02045521716731e-27
0.185,0.005,0,1.02045521716731e-27
0.195,0.005,0,1.02046338080905e-27
0.205,0.005,0,1.02046338080905e-27
0.215,0.005,0,1.02061236727076e-27
0.225,0.005,0,1.02061236727076e-27
0.235,0.005,0,1.02363801698966e-27
0.245,0.005,0,1.02363801698966e-27
0.255,0.005,0,1.08140700728872e-27
0.265,0.005,0,1.08140700728872e-27
0.275,0.005,0,1.87500890694843e-27
0.285,0.005,0,1.87500890694843e-27
0.295,0.005,0,1.55971273576895e-26
0.305,0.005,0,1.55971273576895e-26
0.315,0.005,0,3.22908767099556e-25
0.325,0.005,0,3.22908767099556e-25
0.335,0.005,0,1.0979904250229e-23
0.345,0.005,0,1.0979904250229e-23
0.355,0.005,0,3.97444652980848e-22
0.365,0.005,0,3.97444652980848e-22
0.375,0.005,0,1.03791112411218e-20
0.385,0.005,0,1.03791112411218e-20
0.395,0.005,0,1.64142160546275e-19
0.405,0.005,0,1.64142160546275e-19
0.415,0.005,0,1.18186572114275e-18
0.425,0.005,0,1.18186572114275e-18
0.435,0.005,0,4.94640665369035e-18
0.445,0.005,0,4.94640665369035e-18
0.455,0.005,0,8.3749627059856e-18
0.465,0.005,0,8.3749627059856e-18
0.475,0.005,0,1.12144762909993e-17
0.485,0.005,0,1.12144762909993e-17
0.495,0.005,0,1.58137700002941e-17
0.505,0.005,0,1.58137700002941e-17
0.515,0.005,0,1.96435792485317e-17
0.525,0.005,0,1.96435792485317e-17
0.535,0.005,0,2.38799378552888e-17
0.545,0.005,0,2.38799378552888e-17
0.555,0.005,0,2.17601360281149e-17
0.565,0.005,0,2.17601360281149e-17
0.575,0.005,0,1.75590035354545e-17
0.585,0.005,0,1.75590035354545e-17
0.595,0.005,0,1.35992495198628e-17
0.605,0.005,0,1.35992495198628e-17
0.615,0.005,0,1.03801623099955e-17
0.625,0.005,0,1.03801623099955e-17
