x,y,saturation,concentration
0.005,0.005,0,0
0.015,0.005,0,0
0.025,0.005,0,0
0.035,0.005,0,1.02045521716731e-27
0.045,0.005,0,1.02045521716731e-27
0.055,0.005,0,1.02045521716731e-27
0.065,0.005,0,1.02045521716731e-27
0.075,0.005,0,1.02045521716731e-27
0.085,0.005,0,1.02045521716731e-27
0.095,0.005,0,1.02045521716731e-27
0.105,0.005,0,1.02045521716731e-27
0.115,0.005,0,1.02045521716731e-27
0.125,0.005,0,1.02045521716731e-27
0.135,0.005,0,1.02045521716731e-27
0.145,0.005,0,1.02045521716731e-27
0.155,0.005,0,1.02045521716731e-27
0.165,0.005,0,1.02045521716731e-27
0.175,0.005,0,1.02045521716731e-27
0.185,0.005,0,1.02045521716731e-27
0.195,0.005,0,1.02045623762253e-27
0.205,0.005,0,1.02045623762253e-27
0.215,0.005,0,1.02046542171949e-27
0.225,0.005,0,1.02046542171949e-27
0.235,0.005,0,1.02065012411379e-27
0.245,0.005,0,1.02065012411379e-27
0.255,0.005,0,1.02411252866564e-27
0.265,0.005,0,1.02411252866564e-27
0.275,0.005,0,1.06159895106828e-27
0.285,0.005,0,1.06159895106828e-27
0.295,0.005,0,1.54491409420959e-27
0.305,0.005,0,1.54491409420959e-27
0.315,0.005,0,7.73598834447281e-27
0.325,0.005,0,7.73598834447281e-27
0.335,0.005,0,1.28783489316949e-25
0.345,0.005,0,1.28783489316949e-25
0.355,0.005,0,3.3052881234271e-24
0.365,0.005,0,3.3052881234271e-24
0.375,0.005,0,6.48732872709038e-23
0.385,0.005,0,6.48732872709038e-23
0.395,0.005,0,5.67288607053045e-22
0.405,0.005,0,5.67288607053045e-22
0.415,0.005,0,3.64152709702851e-21
0.425,0.005,0,3.64152709702851e-21
0.435,0.005,0,1.48919213707617e-20
0.445,0.005,0,1.48919213707617e-20
0.455,0.005,0,3.51363956739223e-20
0.465,0.005,0,3.51363956739223e-20
0.475,0.005,0,8.09552941295824e-20
0.485,0.005,0,8.09552941295824e-20
0.495,0.005,0,1.7729991011643e-19
0.505,0.005,0,1.7729991011643e-19
0.515,0.005,0,2.75746898555343e-19
0.525,0.005,0,2.75746898555343e-19
0.535,0.005,0,3.92192267932566e-19
0.545,0.005,0,3.92192267932566e-19
0.555,0.005,0,3.91173547489268e-19
0.565,0.005,0,3.91173547489268e-19
0.575,0.005,0,3.47170191933231e-19
0.585,0.005,0,3.47170191933231e-19
0.595,0.005,0,2.94643178039239e-19
0.605,0.005,0,2.94643178039239e-19
0.615,0.005,0,2.45802660662785e-19
0.625,0.005,0,2.45802660662785e-19
