x,y,saturation,concentration
0.005,0.005,0,0
0.015,0.005,0,0
0.025,0.005,0,0
0.035,0.005,0,1.02045521716731e-27
0.045,0.005,0,1.02045521716731e-27
0.055,0.005,0,1.02045521716731e-27
0.065,0.005,0,1.02045521716731e-27
0.075,0.005,0,1.02045521716731e-27
0.085,0.005,0,1.02045521716731e-27
0.095,0.005,0,1.02045521716731e-27
0.105,0.005,0,1.02045521716731e-27
0.115,0.005,0,1.02045521716731e-27
0.125,0.005,0,1.02045521716731e-27
0.135,0.005,0,1.02045521716731e-27
0.145,0.005,0,1.02045521716731e-27
0.155,0.005,0,1.02045521716731e-27
0.165,0.005,0,1.02045521716731e-27
0.175,0.005,0,1.02045521716731e-27
0.185,0.005,0,1.02045521716731e-27
0.195,0.005,0,1.02045929898818e-27
0.205,0.005,0,1.02045929898818e-27
0.215,0.005,0,1.02054093540556e-27
0.225,0.005,0,1.02054093540556e-27
0.235,0.005,0,1.02213692736521e-27
0.245,0.005,0,1.02213692736521e-27
0.255,0.005,0,1.05049945967115e-27
0.265,0.005,0,1.05049945967115e-27
0.275,0.005,0,1.40578318899056e-27
0.285,0.005,0,1.40578318899056e-27
0.295,0.005,0,6.827135212131e-27
0.305,0.005,0,6.827135212131e-27
0.315,0.005,0,1.13351349158771e-25
0.325,0.005,0,1.13351349158771e-25
0.335,0.005,0,3.2952662327393e-24
0.345,0.005,0,3.2952662327393e-24
0.355,0.005,0,1.00795168143688e-22
0.365,0.005,0,1.00795168143688e-22
0.375,0.005,0,2.15553306660295e-21
0.385,0.005,0,2.15553306660295e-21
0.395,0.005,0,2.73740989734957e-20
0.405,0.005,0,2.73740989734957e-20
0.415,0.005,0,1.87756412681222e-19
0.425,0.005,0,1.87756412681222e-19
0.435,0.005,0,7.54356926781331e-19
0.445,0.005,0,7.54356926781331e-19
0.455,0.005,0,1.34653862044748e-18
0.465,0.005,0,1.34653862044748e-18
0.475,0.005,0,2.14665102439272e-18
0.485,0.005,0,2.14665102439272e-18
0.495,0.005,0,3.66692520692859e-18
0.505,0.005,0,3.66692520692859e-18
0.515,0.005,0,5.14347594477448e-18
0.525,0.005,0,5.14347594477448e-18
0.535,0.005,0,6.71668318033525e-18
0.545,0.005,0,6.71668318033525e-18
0.555,0.005,0,6.38056768181511e-18
0.565,0.005,0,6.38056768181511e-18
0.575,0.005,0,5.32118005720243e-18
0.585,0.005,0,5.32118005720243e-18
0.595,0.005,0,4.24850610566223e-18
0.605,0.005,0,4.24850610566223e-18
0.615,0.005,0,3.34021422368986e-18
0.625,0.005,0,3.34021422368986e-18
