x,y,saturation,concentration
0.005,0.005,0,0
0.015,0.005,0,0
0.025,0.005,0,0
0.035,0.005,0,1.02045521716731e-27
0.045,0.005,0,1.02045521716731e-27
0.055,0.005,0,1.02045521716731e-27
0.065,0.005,0,1.02045521716731e-27
0.075,0.005,0,1.02045521716731e-27
0.085,0.005,0,1.02045521716731e-27
0.095,0.005,0,1.02045521716731e-27
0.105,0.005,0,1.02045521716731e-27
0.115,0.005,0,1.02045521716731e-27
0.125,0.005,0,1.02045521716731e-27
0.135,0.005,0,1.02045521716731e-27
0.145,0.005,0,1.02045521716731e-27
0.155,0.005,0,1.02045521716731e-27
0.165,0.005,0,1.02045521716731e-27
0.175,0.005,0,1.02045521716731e-27
0.185,0.005,0,1.02045521716731e-27
0.195,0.005,0,1.02046133989862e-27
0.205,0.005,0,1.02046133989862e-27
0.215,0.005,0,1.02057052860685e-27
0.225,0.005,0,1.02057052860685e-27
0.235,0.005,0,1.02272675048073e-27
0.245,0.005,0,1.02272675048073e-27
0.255,0.005,0,1.06168160794087e-27
0.265,0.005,0,1.06168160794087e-27
0.275,0.005,0,1.56483133913826e-27
0.285,0.005,0,1.56483133913826e-27
0.295,0.005,0,9.56126638686782e-27
0.305,0.005,0,9.56126638686782e-27
0.315,0.005,0,1.78055455159221e-25
0.325,0.005,0,1.78055455159221e-25
0.335,0.005,0,5.4971851116938e-24
0.345,0.005,0,5.4971851116938e-24
0.355,0.005,0,1.7462264380867e-22
0.365,0.005,0,1.7462264380867e-22
0.375,0.005,0,3.90096865189634e-21
0.385,0.005,0,3.90096865189634e-21
0.395,0.005,0,5.25823633849712e-20
0.405,0.005,0,5.25823633849712e-20
0.415,0.005,0,3.62679580551348e-19
0.425,0.005,0,3.62679580551348e-19
0.435,0.005,0,1.45979486318001e-18
0.445,0.005,0,1.45979486318001e-18
0.455,0.005,0,2.5407304201584e-18
0.465,0.005,0,2.5407304201584e-18
0.475,0.005,0,3.79934866000517e-18
0.485,0.005,0,3.79934866000517e-18
0.495,0.005,0,6.09613109685798e-18
0.505,0.005,0,6.09613109685798e-18
0.515,0.005,0,8.26061151480505e-18
0.525,0.005,0,8.26061151480505e-18
0.535,0.005,0,1.05621094752164e-17
0.545,0.005,0,1.05621094752164e-17
0.555,0.005,0,9.91638582289726e-18
0.565,0.005,0,9.91638582289726e-18
0.575,0.005,0,8.17270440012217e-18
0.585,0.005,0,8.17270440012217e-18
0.595,0.005,0,6.44931881116133e-18
0.605,0.005,0,6.44931881116133e-18
0.615,0.005,0,5.01206478327333e-18
0.625,0.005,0,5.01206478327333e-18
