x,y,saturation,concentration
0.005,0.005,0,0
0.015,0.005,0,0
0.025,0.005,0,0
0.035,0.005,0,2.4944466977761e-27
0.045,0.005,0,2.4944466977761e-27
0.055,0.005,0,2.4944466977761e-27
0.065,0.005,0,2.4944466977761e-27
0.075,0.005,0,2.49444919222279e-27
0.085,0.005,0,2.49444919222279e-27
0.095,0.005,0,2.49467868131899e-27
0.105,0.005,0,2.49467868131899e-27
0.115,0.005,0,2.50791670994409e-27
0.125,0.005,0,2.50791670994409e-27
0.135,0.005,0,3.0817442171939e-27
0.145,0.005,0,3.0817442171939e-27
0.155,0.005,0,2.25562662481832e-26
0.165,0.005,0,2.25562662481832e-26
0.175,0.005,0,5.57168095534041e-25
0.185,0.005,0,5.57168095534041e-25
0.195,0.005,0,1.25016754432543e-23
0.205,0.005,0,1.25016754432543e-23
0.215,0.005,0,2.31818834577723e-22
0.225,0.005,0,2.31818834577723e-22
0.235,0.005,0,3.67794441687606e-21
0.245,0.005,0,3.67794441687606e-21
0.255,0.005,0,4.80759950400452e-20
0.265,0.005,0,4.80759950400452e-20
0.275,0.005,0,4.89426406562536e-19
0.285,0.005,0,4.89426406562536e-19
0.295,0.005,0,4.98545105910926e-18
0.305,0.005,0,4.98545105910926e-18
0.315,0.005,0,5.36411305672507e-17
0.325,0.005,0,5.36411305672507e-17
0.335,0.005,0,5.38623630448764e-16
0.345,0.005,0,5.38623630448764e-16
0.355,0.005,0,4.72966301137921e-15
0.365,0.005,0,4.72966301137921e-15
0.375,0.005,0,3.47941389864676e-14
0.385,0.005,0,3.47941389864676e-14
0.395,0.005,0,2.1460308641495e-13
0.405,0.005,0,2.1460308641495e-13
0.415,0.005,0,1.14531996294583e-12
0.425,0.005,0,1.14531996294583e-12
0.435,0.005,0,5.42166493093614e-12
0.445,0.005,0,5.42166493093614e-12
0.455,0.005,0,2.31340524423421e-11
0.465,0.005,0,2.31340524423421e-11
0.475,0.005,0,8.90198930262714e-11
0.485,0.005,0,8.90198930262714e-11
0.495,0.005,0,3.08140746688915e-10
0.505,0.005,0,3.08140746688915e-10
0.515,0.005,0,9.44896908006408e-10
0.525,0.005,0,9.44896908006408e-10
0.535,0.005,0,2.57921547990277e-09
0.545,0.005,0,2.57921547990277e-09
0.555,0.005,0,6.73515325632438e-09
0.565,0.005,0,6.73515325632438e-09
0.575,0.005,0,2.05400099710201e-08
0.585,0.005,0,2.05400099710201e-08
0.595,0.005,0,8.40512046448882e-08
0.605,0.005,0,8.40512046448882e-08
0.615,0.005,0,4.38860978551138e-07
0.625,0.005,0,4.38860978551138e-07
