x,y,saturation,concentration
0.005,0.005,0,0
0.015,0.005,0,0
0.025,0.005,0,0
0.035,0.005,0,1.02045521716731e-27
0.045,0.005,0,1.02045521716731e-27
0.055,0.005,0,1.02045521716731e-27
0.065,0.005,0,1.02045521716731e-27
0.075,0.005,0,1.02045521716731e-27
0.085,0.005,0,1.02045521716731e-27
0.095,0.005,0,1.02045521716731e-27
0.105,0.005,0,1.02045521716731e-27
0.115,0.005,0,1.02045521716731e-27
0.125,0.005,0,1.02045521716731e-27
0.135,0.005,0,1.02045521716731e-27
0.145,0.005,0,1.02045521716731e-27
0.155,0.005,0,1.02045521716731e-27
0.165,0.005,0,1.02045521716731e-27
0.175,0.005,0,1.02045521716731e-27
0.185,0.005,0,1.02045521716731e-27
0.195,0.005,0,1.02046338080905e-27
0.205,0.005,0,1.02046338080905e-27
0.215,0.005,0,1.02061542863641e-27
0.225,0.005,0,1.02061542863641e-27
0.235,0.005,0,1.02371965340703e-27
0.245,0.005,0,1.02371965340703e-27
0.255,0.005,0,1.08338873132046e-27
0.265,0.005,0,1.08338873132046e-27
0.275,0.005,0,1.91183611528079e-27
0.285,0.005,0,1.91183611528079e-27
0.295,0.005,0,1.64575751968049e-26
0.305,0.005,0,1.64575751968049e-26
0.315,0.005,0,3.45104280346075e-25
0.325,0.005,0,3.45104280346075e-25
0.335,0.005,0,1.18860684830736e-23
0.345,0.005,0,1.18860684830736e-23
0.355,0.005,0,4.37160361850912e-22
0.365,0.005,0,4.37160361850912e-22
0.375,0.005,0,1.16485371221736e-20
0.385,0.005,0,1.16485371221736e-20
0.395,0.005,0,1.87915195513013e-19
0.405,0.005,0,1.87915195513013e-19
0.415,0.005,0,1.36197912833844e-18
0.425,0.005,0,1.36197912833844e-18
0.435,0.005,0,5.73658288518603e-18
0.445,0.005,0,5.73658288518603e-18
0.455,0.005,0,9.69087032217937e-18
0.465,0.005,0,9.69087032217937e-18
0.475,0.005,0,1.28116111604922e-17
0.485,0.005,0,1.28116111604922e-17
0.495,0.005,0,1.77561860970677e-17
0.505,0.005,0,1.77561860970677e-17
0.515,0.005,0,2.17664934641179e-17
0.525,0.005,0,2.17664934641179e-17
0.535,0.005,0,2.62422916830311e-17
0.545,0.005,0,2.62422916830311e-17
0.555,0.005,0,2.37864845665006e-17
0.565,0.005,0,2.37864845665006e-17
0.575,0.005,0,1.9128831023336e-17
0.585,0.005,0,1.9128831023336e-17
0.595,0.005,0,1.47712321322273e-17
0.605,0.005,0,1.47712321322273e-17
0.615,0.005,0,1.12452021975882e-17
0.625,0.005,0,1.12452021975882e-17
