x,y,saturation,concentration
0.005,0.005,0,0
0.015,0.005,0,0
0.025,0.005,0,0
0.035,0.005,0,1.02045521716731e-27
0.045,0.005,0,1.02045521716731e-27
0.055,0.005,0,1.02045521716731e-27
0.065,0.005,0,1.02045521716731e-27
0.075,0.005,0,1.02045521716731e-27
0.085,0.005,0,1.02045521716731e-27
0.095,0.005,0,1.02045521716731e-27
0.105,0.005,0,1.02045521716731e-27
0.115,0.005,0,1.02045521716731e-27
0.125,0.005,0,1.02045521716731e-27
0.135,0.005,0,1.02045521716731e-27
0.145,0.005,0,1.02045521716731e-27
0.155,0.005,0,1.02045521716731e-27
0.165,0.005,0,1.02045521716731e-27
0.175,0.005,0,1.02045521716731e-27
0.185,0.005,0,1.02045521716731e-27
0.195,0.005,0,1.02046338080905e-27
0.205,0.005,0,1.02046338080905e-27
0.215,0.005,0,1.02061746954684e-27
0.225,0.005,0,1.02061746954684e-27
0.235,0.005,0,1.02376353298137e-27
0.245,0.005,0,1.02376353298137e-27
0.255,0.005,0,1.08449898659673e-27
0.265,0.005,0,1.08449898659673e-27
0.275,0.005,0,1.93335955672128e-27
0.285,0.005,0,1.93335955672128e-27
0.295,0.005,0,1.69818340646247e-26
0.305,0.005,0,1.69818340646247e-26
0.315,0.005,0,3.58861037128708e-25
0.325,0.005,0,3.58861037128708e-25
0.335,0.005,0,1.24563294720832e-23
0.345,0.005,0,1.24563294720832e-23
0.355,0.005,0,4.62470814647835e-22
0.365,0.005,0,4.62470814647835e-22
0.375,0.005,0,1.24720648915319e-20
0.385,0.005,0,1.24720648915319e-20
0.395,0.005,0,2.03591224468094e-19
0.405,0.005,0,2.03591224468094e-19
0.415,0.005,0,1.48159995026044e-18
0.425,0.005,0,1.48159995026044e-18
0.435,0.005,0,6.26501439438874e-18
0.445,0.005,0,6.26501439438874e-18
0.455,0.005,0,1.05701200486712e-17
0.465,0.005,0,1.05701200486712e-17
0.475,0.005,0,1.3868649697195e-17
0.485,0.005,0,1.3868649697195e-17
0.495,0.005,0,1.90211934070292e-17
0.505,0.005,0,1.90211934070292e-17
0.515,0.005,0,2.31276378600887e-17
0.525,0.005,0,2.31276378600887e-17
0.535,0.005,0,2.77391566228852e-17
0.545,0.005,0,2.77391566228852e-17
0.555,0.005,0,2.50588085403691e-17
0.565,0.005,0,2.50588085403691e-17
0.575,0.005,0,2.01081618952515e-17
0.585,0.005,0,2.01081618952515e-17
0.595,0.005,0,1.54979289060286e-17
0.605,0.005,0,1.54979289060286e-17
0.615,0.005,0,1.17788084351972e-17
0.625,0.005,0,1.17788084351972e-17
