x,y,saturation,concentration
0.005,0.005,0,0
0.015,0.005,0,0
0.025,0.005,0,0
0.035,0.005,0,1.02045521716731e-27
0.045,0.005,0,1.02045521716731e-27
0.055,0.005,0,1.02045521716731e-27
0.065,0.005,0,1.02045521716731e-27
0.075,0.005,0,1.02045521716731e-27
0.085,0.005,0,1.02045521716731e-27
0.095,0.005,0,1.02045521716731e-27
0.105,0.005,0,1.02045521716731e-27
0.115,0.005,0,1.02045521716731e-27
0.125,0.005,0,1.02045521716731e-27
0.135,0.005,0,1.02045521716731e-27
0.145,0.005,0,1.02045521716731e-27
0.155,0.005,0,1.02045521716731e-27
0.165,0.005,0,1.02045521716731e-27
0.175,0.005,0,1.02045521716731e-27
0.185,0.005,0,1.02045521716731e-27
0.195,0.005,0,1.02046236035383e-27
0.205,0.005,0,1.02046236035383e-27
0.215,0.005,0,1.02058481497989e-27
0.225,0.005,0,1.02058481497989e-27
0.235,0.005,0,1.02301962112806e-27
0.245,0.005,0,1.02301962112806e-27
0.255,0.005,0,1.06763392322261e-27
0.265,0.005,0,1.06763392322261e-27
0.275,0.005,0,1.65146900753098e-27
0.285,0.005,0,1.65146900753098e-27
0.295,0.005,0,1.10864295703491e-26
0.305,0.005,0,1.10864295703491e-26
0.315,0.005,0,2.13496477124572e-25
0.325,0.005,0,2.13496477124572e-25
0.335,0.005,0,6.76481907338425e-24
0.345,0.005,0,6.76481907338425e-24
0.355,0.005,0,2.2221524650005e-22
0.365,0.005,0,2.2221524650005e-22
0.375,0.005,0,5.16098287448021e-21
0.385,0.005,0,5.16098287448021e-21
0.395,0.005,0,7.25027513157117e-20
0.405,0.005,0,7.25027513157117e-20
0.415,0.005,0,5.04647963547229e-19
0.425,0.005,0,5.04647963547229e-19
0.435,0.005,0,2.04669131313988e-18
0.445,0.005,0,2.04669131313988e-18
0.455,0.005,0,3.52825962928859e-18
0.465,0.005,0,3.52825962928859e-18
0.475,0.005,0,5.11234185609871e-18
0.485,0.005,0,5.11234185609871e-18
0.495,0.005,0,7.93305559464652e-18
0.505,0.005,0,7.93305559464652e-18
0.515,0.005,0,1.05344551388312e-17
0.525,0.005,0,1.05344551388312e-17
0.535,0.005,0,1.33197978586415e-17
0.545,0.005,0,1.33197978586415e-17
0.555,0.005,0,1.24289098403979e-17
0.565,0.005,0,1.24289098403979e-17
0.575,0.005,0,1.01912291083578e-17
0.585,0.005,0,1.01912291083578e-17
0.595,0.005,0,8.00432622792392e-18
0.605,0.005,0,8.00432622792392e-18
0.615,0.005,0,6.1910548616141e-18
0.625,0.005,0,6.1910548616141e-18
