x,y,saturation,concentration
0.005,0.005,0,0
0.015,0.005,0,0
0.025,0.005,0,0
0.035,0.005,0,1.02045521716731e-27
0.045,0.005,0,1.02045521716731e-27
0.055,0.005,0,1.02045521716731e-27
0.065,0.005,0,1.02045521716731e-27
0.075,0.005,0,1.02045521716731e-27
0.085,0.005,0,1.02045521716731e-27
0.095,0.005,0,1.02045521716731e-27
0.105,0.005,0,1.02045521716731e-27
0.115,0.005,0,1.02045521716731e-27
0.125,0.005,0,1.02045521716731e-27
0.135,0.005,0,1.02045521716731e-27
0.145,0.005,0,1.02045521716731e-27
0.155,0.005,0,1.02045521716731e-27
0.165,0.005,0,1.02045521716731e-27
0.175,0.005,0,1.02045521716731e-27
0.185,0.005,0,1.02045521716731e-27
0.195,0.005,0,1.02046338080905e-27
0.205,0.005,0,1.02046338080905e-27
0.215,0.005,0,1.02061542863641e-27
0.225,0.005,0,1.02061542863641e-27
0.235,0.005,0,1.02371046931008e-27
0.245,0.005,0,1.02371046931008e-27
0.255,0.005,0,1.08315504707573e-27
0.265,0.005,0,1.08315504707573e-27
0.275,0.005,0,1.90739713508611e-27
0.285,0.005,0,1.90739713508611e-27
0.295,0.005,0,1.63515192860847e-26
0.305,0.005,0,1.63515192860847e-26
0.315,0.005,0,3.42343234664986e-25
0.325,0.005,0,3.42343234664986e-25
0.335,0.005,0,1.17724101809855e-23
0.345,0.005,0,1.17724101809855e-23
0.355,0.005,0,4.3214451832197e-22
0.365,0.005,0,4.3214451832197e-22
0.375,0.005,0,1.14866623110743e-20
0.385,0.005,0,1.14866623110743e-20
0.395,0.005,0,1.84856687136119e-19
0.405,0.005,0,1.84856687136119e-19
0.415,0.005,0,1.33871785166311e-18
0.425,0.005,0,1.33871785166311e-18
0.435,0.005,0,5.63415469276286e-18
0.445,0.005,0,5.63415469276286e-18
0.455,0.005,0,9.52037368495027e-18
0.465,0.005,0,9.52037368495027e-18
0.475,0.005,0,1.26057445249809e-17
0.485,0.005,0,1.26057445249809e-17
0.495,0.005,0,1.75079705700439e-17
0.505,0.005,0,1.75079705700439e-17
0.515,0.005,0,2.14974810597682e-17
0.525,0.005,0,2.14974810597682e-17
0.535,0.005,0,2.59448289872268e-17
0.545,0.005,0,2.59448289872268e-17
0.555,0.005,0,2.35325646948128e-17
0.565,0.005,0,2.35325646948128e-17
0.575,0.005,0,1.89327811670138e-17
0.585,0.005,0,1.89327811670138e-17
0.595,0.005,0,1.46253274452767e-17
0.605,0.005,0,1.46253274452767e-17
0.615,0.005,0,1.11377992859813e-17
0.625,0.005,0,1.11377992859813e-17
