x,y,saturation,concentration
0.005,0.005,0,0
0.015,0.005,0,0
0.025,0.005,0,0
0.035,0.005,0,1.02045521716731e-27
0.045,0.005,0,1.02045521716731e-27
0.055,0.005,0,1.02045521716731e-27
0.065,0.005,0,1.02045521716731e-27
0.075,0.005,0,1.02045521716731e-27
0.085,0.005,0,1.02045521716731e-27
0.095,0.005,0,1.02045521716731e-27
0.105,0.005,0,1.02045521716731e-27
0.115,0.005,0,1.02045521716731e-27
0.125,0.005,0,1.02045521716731e-27
0.135,0.005,0,1.02045521716731e-27
0.145,0.005,0,1.02045521716731e-27
0.155,0.005,0,1.02045521716731e-27
0.165,0.005,0,1.02045521716731e-27
0.175,0.005,0,1.02045521716731e-27
0.185,0.005,0,1.02045521716731e-27
0.195,0.005,0,1.02045929898818e-27
0.205,0.005,0,1.02045929898818e-27
0.215,0.005,0,1.02053379221904e-27
0.225,0.005,0,1.02053379221904e-27
0.235,0.005,0,1.02199814545567e-27
0.245,0.005,0,1.02199814545567e-27
0.255,0.005,0,1.04780035562175e-27
0.265,0.005,0,1.04780035562175e-27
0.275,0.005,0,1.36960090835546e-27
0.285,0.005,0,1.36960090835546e-27
0.295,0.005,0,6.26300613852135e-27
0.305,0.005,0,6.26300613852135e-27
0.315,0.005,0,1.01726170256519e-25
0.325,0.005,0,1.01726170256519e-25
0.335,0.005,0,2.91518544164272e-24
0.345,0.005,0,2.91518544164272e-24
0.355,0.005,0,8.72298385552443e-23
0.365,0.005,0,8.72298385552443e-23
0.375,0.005,0,1.82093396453552e-21
0.385,0.005,0,1.82093396453552e-21
0.395,0.005,0,2.24879961208639e-20
0.405,0.005,0,2.24879961208639e-20
0.415,0.005,0,1.53310232507087e-19
0.425,0.005,0,1.53310232507087e-19
0.435,0.005,0,6.13625845736265e-19
0.445,0.005,0,6.13625845736265e-19
0.455,0.005,0,1.10545097311561e-18
0.465,0.005,0,1.10545097311561e-18
0.475,0.005,0,1.80000442803142e-18
0.485,0.005,0,1.80000442803142e-18
0.495,0.005,0,3.13043006059983e-18
0.505,0.005,0,3.13043006059983e-18
0.515,0.005,0,4.4317512899194e-18
0.525,0.005,0,4.4317512899194e-18
0.535,0.005,0,5.81612328754336e-18
0.545,0.005,0,5.81612328754336e-18
0.555,0.005,0,5.54158103637188e-18
0.565,0.005,0,5.54158103637188e-18
0.575,0.005,0,4.63877818301265e-18
0.585,0.005,0,4.63877818301265e-18
0.595,0.005,0,3.71794898824217e-18
0.605,0.005,0,3.71794898824217e-18
0.615,0.005,0,2.93462409307454e-18
0.625,0.005,0,2.93462409307454e-18
